frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y
31575,17:07.500,17:07.513,2,519.0,894.0,710.0,1123.0,1009.0,767.0,1181.0,959.0,,,,,,,,
31590,17:08.000,17:08.013,2,552.0,897.0,735.0,1120.0,1022.0,770.0,1193.0,964.0,,,,,,,,
31605,17:08.500,17:08.515,2,576.0,898.0,760.0,1130.0,1094.0,767.0,1247.0,960.0,,,,,,,,
31620,17:09.000,17:09.015,2,577.0,901.0,761.0,1133.0,1143.0,765.0,1277.0,957.0,,,,,,,,
31635,17:09.500,17:09.515,2,607.0,899.0,787.0,1119.0,1125.0,767.0,1282.0,955.0,,,,,,,,
31650,17:10.000,17:10.015,2,667.0,884.0,840.0,1101.0,1144.0,762.0,1307.0,952.0,,,,,,,,
31665,17:10.500,17:10.515,2,880.0,851.0,1035.0,1064.0,1317.0,749.0,1481.0,939.0,,,,,,,,
31680,17:11.000,17:11.015,2,881.0,856.0,1036.0,1066.0,1317.0,753.0,1478.0,943.0,,,,,,,,
31695,17:11.500,17:11.515,2,879.0,849.0,1035.0,1059.0,1314.0,746.0,1475.0,938.0,,,,,,,,
31710,17:12.000,17:12.015,2,885.0,846.0,1040.0,1058.0,1313.0,742.0,1478.0,934.0,,,,,,,,
31725,17:12.500,17:12.517,2,912.0,895.0,1064.0,1109.0,1337.0,793.0,1500.0,1000.0,,,,,,,,
31740,17:13.000,17:13.017,2,890.0,832.0,1052.0,1042.0,1333.0,724.0,1496.0,924.0,,,,,,,,
31755,17:13.500,17:13.517,2,892.0,847.0,1056.0,1066.0,1342.0,731.0,1506.0,941.0,,,,,,,,
31770,17:14.000,17:14.017,2,881.0,843.0,1046.0,1052.0,1333.0,730.0,1495.0,933.0,,,,,,,,
31785,17:14.500,17:14.517,2,1332.0,732.0,1494.0,939.0,875.0,850.0,1039.0,1062.0,,,,,,,,
31800,17:15.000,17:15.017,2,877.0,886.0,1037.0,1099.0,1321.0,772.0,1483.0,971.0,,,,,,,,
31815,17:15.500,17:15.517,2,1325.0,764.0,1486.0,963.0,883.0,870.0,1045.0,1081.0,,,,,,,,
31830,17:16.000,17:16.017,2,646.0,804.0,817.0,1019.0,1114.0,702.0,1276.0,903.0,,,,,,,,
31845,17:16.500,17:16.518,1,373.0,640.0,573.0,880.0,,,,,,,,,,,,
31860,17:17.000,17:17.018,0,,,,,,,,,,,,,,,,
31875,17:17.500,17:17.518,0,,,,,,,,,,,,,,,,
31890,17:18.000,17:18.018,2,1127.0,813.0,1273.0,1018.0,534.0,786.0,670.0,1005.0,,,,,,,,
31905,17:18.500,17:18.518,2,1702.0,832.0,1872.0,1065.0,1160.0,795.0,1286.0,999.0,,,,,,,,
31920,17:19.000,17:19.018,2,2033.0,720.0,2233.0,966.0,1510.0,698.0,1672.0,929.0,,,,,,,,
31935,17:19.500,17:19.518,2,849.0,860.0,1007.0,1091.0,1303.0,877.0,1453.0,1091.0,,,,,,,,
31950,17:20.000,17:20.018,2,714.0,876.0,876.0,1118.0,1219.0,905.0,1371.0,1121.0,,,,,,,,
31965,17:20.500,17:20.520,2,689.0,883.0,853.0,1124.0,1212.0,941.0,1364.0,1158.0,,,,,,,,
31980,17:21.000,17:21.012,2,669.0,910.0,832.0,1154.0,1192.0,964.0,1343.0,1195.0,,,,,,,,
31995,17:21.500,17:21.512,2,787.0,818.0,946.0,1059.0,1293.0,889.0,1443.0,1114.0,,,,,,,,
32010,17:22.000,17:22.012,2,1301.0,826.0,1453.0,1046.0,803.0,761.0,964.0,988.0,,,,,,,,
32025,17:22.500,17:22.512,2,1300.0,786.0,1450.0,1003.0,801.0,717.0,960.0,943.0,,,,,,,,
32040,17:23.000,17:23.012,2,1277.0,774.0,1428.0,988.0,780.0,694.0,941.0,923.0,,,,,,,,
32055,17:23.500,17:23.512,2,1270.0,762.0,1419.0,972.0,770.0,680.0,933.0,911.0,,,,,,,,
32070,17:24.000,17:24.012,2,1277.0,768.0,1427.0,986.0,781.0,694.0,942.0,923.0,,,,,,,,
32085,17:24.500,17:24.513,2,1256.0,762.0,1408.0,981.0,779.0,689.0,938.0,914.0,,,,,,,,
32100,17:25.000,17:25.013,2,1269.0,758.0,1420.0,976.0,795.0,676.0,953.0,907.0,,,,,,,,
32115,17:25.500,17:25.513,2,1274.0,805.0,1430.0,1024.0,820.0,735.0,974.0,958.0,,,,,,,,
32130,17:26.000,17:26.013,2,1385.0,754.0,1541.0,975.0,934.0,678.0,1085.0,897.0,,,,,,,,
32145,17:26.500,17:26.513,2,1691.0,758.0,1868.0,997.0,1218.0,710.0,1369.0,937.0,,,,,,,,
32160,17:27.000,17:27.013,2,1714.0,785.0,1888.0,1025.0,1231.0,734.0,1382.0,954.0,,,,,,,,
32175,17:27.500,17:27.513,2,1687.0,760.0,1861.0,998.0,1209.0,718.0,1356.0,937.0,,,,,,,,
32190,17:28.000,17:28.013,2,1316.0,763.0,1470.0,986.0,845.0,694.0,998.0,921.0,,,,,,,,
32205,17:28.500,17:28.515,2,1350.0,758.0,1504.0,975.0,880.0,687.0,1034.0,913.0,,,,,,,,
32220,17:29.000,17:29.015,2,1327.0,757.0,1479.0,976.0,854.0,686.0,1008.0,914.0,,,,,,,,
32235,17:29.500,17:29.515,2,1317.0,757.0,1468.0,972.0,843.0,686.0,996.0,910.0,,,,,,,,
32250,17:30.000,17:30.015,2,1303.0,764.0,1448.0,985.0,826.0,696.0,977.0,921.0,,,,,,,,
32265,17:30.500,17:30.515,2,1267.0,787.0,1415.0,1002.0,793.0,713.0,949.0,935.0,,,,,,,,
32280,17:31.000,17:31.015,2,1245.0,817.0,1392.0,1028.0,772.0,738.0,927.0,957.0,,,,,,,,
32295,17:31.500,17:31.515,2,774.0,735.0,930.0,954.0,1254.0,811.0,1400.0,1019.0,,,,,,,,
32310,17:32.000,17:32.015,2,1224.0,832.0,1371.0,1042.0,745.0,757.0,906.0,980.0,,,,,,,,
32325,17:32.500,17:32.517,2,1197.0,826.0,1343.0,1043.0,704.0,755.0,867.0,983.0,,,,,,,,
32340,17:33.000,17:33.017,2,658.0,712.0,824.0,938.0,1157.0,811.0,1303.0,1016.0,,,,,,,,
32355,17:33.500,17:33.517,2,1213.0,758.0,1359.0,969.0,720.0,648.0,881.0,874.0,,,,,,,,
32370,17:34.000,17:34.017,2,586.0,611.0,759.0,843.0,1196.0,712.0,1341.0,931.0,,,,,,,,
32385,17:34.500,17:34.517,2,1181.0,661.0,1326.0,880.0,573.0,586.0,748.0,823.0,,,,,,,,
32400,17:35.000,17:35.017,2,1457.0,707.0,1610.0,927.0,886.0,628.0,1039.0,845.0,,,,,,,,
32415,17:35.500,17:35.517,2,1794.0,663.0,1965.0,895.0,1184.0,632.0,1337.0,848.0,,,,,,,,
32430,17:36.000,17:36.017,2,1786.0,577.0,1961.0,806.0,1191.0,534.0,1347.0,758.0,,,,,,,,
32445,17:36.500,17:36.518,2,1727.0,536.0,1900.0,768.0,1147.0,497.0,1306.0,724.0,,,,,,,,
32460,17:37.000,17:37.018,2,1677.0,690.0,1848.0,912.0,1135.0,638.0,1287.0,856.0,,,,,,,,
32475,17:37.500,17:37.518,2,1145.0,762.0,1297.0,970.0,579.0,722.0,750.0,953.0,,,,,,,,
32490,17:38.000,17:38.018,2,638.0,782.0,806.0,1006.0,1192.0,824.0,1346.0,1038.0,,,,,,,,
32505,17:38.500,17:38.518,2,1231.0,1070.0,1391.0,1298.0,694.0,1008.0,860.0,1241.0,,,,,,,,
32520,17:39.000,17:39.018,2,1307.0,1154.0,1474.0,1391.0,773.0,1092.0,939.0,1333.0,,,,,,,,
32535,17:39.500,17:39.518,2,1453.0,1066.0,1622.0,1295.0,934.0,993.0,1090.0,1217.0,,,,,,,,
32550,17:40.000,17:40.018,2,1493.0,1067.0,1664.0,1294.0,970.0,989.0,1126.0,1213.0,,,,,,,,
32565,17:40.500,17:40.520,2,1491.0,1081.0,1664.0,1315.0,968.0,1005.0,1124.0,1232.0,,,,,,,,
32580,17:41.000,17:41.012,2,1476.0,1069.0,1648.0,1304.0,955.0,996.0,1112.0,1223.0,,,,,,,,
32595,17:41.500,17:41.512,2,1305.0,1018.0,1471.0,1248.0,781.0,959.0,941.0,1186.0,,,,,,,,
32610,17:42.000,17:42.012,2,1293.0,1003.0,1457.0,1230.0,786.0,935.0,944.0,1160.0,,,,,,,,
32625,17:42.500,17:42.512,2,1401.0,949.0,1571.0,1175.0,902.0,874.0,1057.0,1085.0,,,,,,,,
32640,17:43.000,17:43.012,2,1498.0,933.0,1668.0,1156.0,986.0,848.0,1141.0,1063.0,,,,,,,,
32655,17:43.500,17:43.512,2,1605.0,940.0,1781.0,1170.0,1089.0,851.0,1243.0,1070.0,,,,,,,,
32670,17:44.000,17:44.012,2,1625.0,913.0,1796.0,1140.0,1101.0,813.0,1251.0,1031.0,,,,,,,,
32685,17:44.500,17:44.513,2,1664.0,987.0,1839.0,1210.0,1131.0,897.0,1282.0,1113.0,,,,,,,,
32700,17:45.000,17:45.013,2,1617.0,972.0,1793.0,1203.0,1095.0,889.0,1249.0,1122.0,,,,,,,,
32715,17:45.500,17:45.513,2,1619.0,950.0,1795.0,1179.0,1089.0,859.0,1243.0,1103.0,,,,,,,,
32730,17:46.000,17:46.013,2,1590.0,871.0,1767.0,1098.0,1073.0,806.0,1225.0,1033.0,,,,,,,,
32745,17:46.500,17:46.513,2,1598.0,878.0,1775.0,1106.0,1076.0,810.0,1228.0,1033.0,,,,,,,,
32760,17:47.000,17:47.013,2,1607.0,873.0,1788.0,1103.0,1085.0,802.0,1237.0,1031.0,,,,,,,,
32775,17:47.500,17:47.513,2,1567.0,846.0,1745.0,1081.0,1051.0,791.0,1203.0,1015.0,,,,,,,,
32790,17:48.000,17:48.013,2,1562.0,824.0,1738.0,1053.0,1046.0,764.0,1198.0,989.0,,,,,,,,
32805,17:48.500,17:48.515,2,1562.0,834.0,1743.0,1064.0,1050.0,775.0,1202.0,1000.0,,,,,,,,
