frame,time,faces_detected_count,037_detected,037_tl_x,037_tl_y,037_br_x,037_br_y,038_detected,038_tl_x,038_tl_y,038_br_x,038_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
23098,12:47.308,1,False,,,,,True,1407,492,1613,811,False,,,,
23113,12:47.806,1,False,,,,,True,1323,581,1525,899,False,,,,
23128,12:48.304,1,False,,,,,True,1342,622,1542,938,False,,,,
23143,12:48.803,1,False,,,,,True,1273,516,1473,825,False,,,,
23158,12:49.301,1,False,,,,,True,1177,563,1383,874,False,,,,
23173,12:49.799,1,False,,,,,True,1157,667,1366,974,False,,,,
23188,12:50.297,1,False,,,,,True,1174,747,1383,1055,False,,,,
23203,12:50.796,1,False,,,,,True,1343,675,1556,985,False,,,,
23218,12:51.294,1,False,,,,,True,1332,614,1542,921,False,,,,
23233,12:51.792,1,False,,,,,True,1316,670,1528,974,False,,,,
23248,12:52.291,1,False,,,,,True,1288,708,1494,1010,False,,,,
23263,12:52.789,1,False,,,,,True,1277,667,1484,968,False,,,,
23278,12:53.287,1,False,,,,,True,1258,691,1452,984,False,,,,
23293,12:53.786,1,False,,,,,True,1251,727,1444,1013,False,,,,
23308,12:54.284,1,False,,,,,True,1276,694,1499,1004,False,,,,
23323,12:54.782,1,False,,,,,True,1347,684,1572,983,False,,,,
23338,12:55.280,1,False,,,,,True,1361,675,1583,969,False,,,,
23353,12:55.779,1,False,,,,,True,1384,649,1595,943,False,,,,
23368,12:56.277,1,False,,,,,True,1448,640,1663,963,False,,,,
23383,12:56.775,1,False,,,,,True,1655,597,1893,929,False,,,,
23398,12:57.274,1,False,,,,,True,1244,540,1463,856,False,,,,
23413,12:57.772,1,False,,,,,True,1346,570,1563,874,False,,,,
23428,12:58.270,1,False,,,,,True,1407,615,1624,919,False,,,,
23443,12:58.768,1,False,,,,,True,1452,575,1675,889,False,,,,
23458,12:59.267,1,False,,,,,True,1469,616,1690,927,False,,,,
23473,12:59.765,1,False,,,,,True,1489,587,1711,898,False,,,,
23488,13:00.263,1,False,,,,,True,1486,579,1710,893,False,,,,
23503,13:00.762,1,False,,,,,True,1462,541,1685,857,False,,,,
23518,13:01.260,1,False,,,,,True,1479,663,1704,972,False,,,,
23533,13:01.758,1,False,,,,,True,1470,707,1689,1008,False,,,,
23548,13:02.257,1,False,,,,,True,1454,700,1673,1000,False,,,,
23563,13:02.755,1,False,,,,,True,1462,691,1682,993,False,,,,
23578,13:03.253,1,False,,,,,True,1463,681,1681,982,False,,,,
23593,13:03.751,1,False,,,,,True,1464,678,1682,982,False,,,,
23608,13:04.250,1,False,,,,,True,1466,677,1684,984,False,,,,
23623,13:04.748,1,False,,,,,True,1468,676,1686,983,False,,,,
23638,13:05.246,1,False,,,,,True,1469,681,1688,986,False,,,,
23653,13:05.745,1,False,,,,,True,1454,687,1673,992,False,,,,
23668,13:06.243,1,False,,,,,True,1418,622,1632,925,False,,,,
23683,13:06.741,1,False,,,,,True,1290,621,1493,915,False,,,,
23698,13:07.239,1,False,,,,,True,1316,593,1515,886,False,,,,
23713,13:07.738,1,False,,,,,True,1432,560,1644,858,False,,,,
23728,13:08.236,1,False,,,,,True,1434,562,1630,859,False,,,,
23743,13:08.734,1,False,,,,,True,1512,587,1700,879,False,,,,
23758,13:09.233,1,False,,,,,True,1473,598,1693,907,False,,,,
23773,13:09.731,1,False,,,,,True,1400,746,1608,1048,False,,,,
23788,13:10.229,1,False,,,,,True,1295,750,1501,1082,False,,,,
23803,13:10.728,1,False,,,,,True,1258,736,1488,1074,False,,,,
23818,13:11.226,1,False,,,,,True,1309,677,1575,1076,False,,,,
23833,13:11.724,1,False,,,,,True,1308,670,1575,1056,False,,,,
23848,13:12.222,1,False,,,,,True,1373,608,1609,953,False,,,,
23863,13:12.721,1,False,,,,,True,1382,592,1581,891,False,,,,
23878,13:13.219,1,False,,,,,True,1386,595,1565,857,False,,,,
23893,13:13.717,1,False,,,,,True,1271,667,1442,911,False,,,,
23908,13:14.216,1,False,,,,,True,1166,664,1354,949,False,,,,
23923,13:14.714,1,False,,,,,True,1330,580,1531,885,False,,,,
23938,13:15.212,1,False,,,,,True,1276,446,1481,758,False,,,,
23953,13:15.711,1,False,,,,,True,1304,410,1514,727,False,,,,
23968,13:16.209,1,False,,,,,True,1427,594,1638,911,False,,,,
23983,13:16.707,1,False,,,,,True,1427,624,1637,924,False,,,,
23998,13:17.205,1,False,,,,,True,1462,644,1675,953,False,,,,
24013,13:17.704,1,False,,,,,True,1471,523,1684,839,False,,,,
24028,13:18.202,1,False,,,,,True,1475,487,1693,803,False,,,,
24043,13:18.700,1,False,,,,,True,1493,481,1711,802,False,,,,
24058,13:19.199,1,False,,,,,True,1494,524,1709,844,False,,,,
24073,13:19.697,1,False,,,,,True,1521,531,1738,848,False,,,,
24088,13:20.195,1,False,,,,,True,1506,487,1723,808,False,,,,
24103,13:20.693,1,False,,,,,True,1542,527,1765,848,False,,,,
24118,13:21.192,1,False,,,,,True,1579,666,1807,988,False,,,,
24133,13:21.690,1,False,,,,,True,1590,754,1821,1079,False,,,,
24148,13:22.188,1,False,,,,,True,1578,686,1811,1008,False,,,,
24163,13:22.687,1,False,,,,,True,1603,495,1843,829,False,,,,
24178,13:23.185,1,False,,,,,True,1574,528,1807,855,False,,,,
24193,13:23.683,1,False,,,,,True,1518,585,1735,907,False,,,,
24208,13:24.182,1,False,,,,,True,1499,620,1711,934,False,,,,
24223,13:24.680,1,False,,,,,True,1489,564,1703,873,False,,,,
24238,13:25.178,1,False,,,,,True,1503,400,1718,724,False,,,,
24253,13:25.676,1,False,,,,,True,1496,367,1711,681,False,,,,
24268,13:26.175,1,False,,,,,True,1462,451,1670,764,False,,,,
24283,13:26.673,1,False,,,,,True,1447,590,1653,897,False,,,,
24298,13:27.171,1,False,,,,,True,1443,693,1639,993,False,,,,
24313,13:27.670,1,False,,,,,True,1417,675,1612,977,False,,,,
24328,13:28.168,1,False,,,,,True,1519,622,1736,932,False,,,,
24343,13:28.666,1,False,,,,,True,1563,592,1778,933,False,,,,
24358,13:29.164,1,False,,,,,True,1639,676,1836,998,False,,,,
24373,13:29.663,1,False,,,,,True,1521,606,1740,935,False,,,,
24388,13:30.161,1,False,,,,,True,1483,714,1705,1045,False,,,,
24403,13:30.659,1,False,,,,,True,1508,529,1733,861,False,,,,
24418,13:31.158,1,False,,,,,True,1572,464,1806,818,False,,,,
24433,13:31.656,1,False,,,,,True,1670,210,1933,571,False,,,,
24448,13:32.154,1,False,,,,,True,1672,229,1930,596,False,,,,
24463,13:32.653,1,False,,,,,True,1657,241,1910,601,False,,,,
24478,13:33.151,1,False,,,,,True,1527,347,1746,685,False,,,,
24493,13:33.649,1,False,,,,,True,1427,458,1642,789,False,,,,
24508,13:34.147,1,False,,,,,True,1393,564,1595,873,False,,,,
24523,13:34.646,1,False,,,,,True,1397,564,1600,870,False,,,,
24538,13:35.144,1,False,,,,,True,1425,561,1637,882,False,,,,
24553,13:35.642,1,False,,,,,True,1421,569,1628,883,False,,,,
24568,13:36.141,1,False,,,,,True,1414,585,1619,896,False,,,,
24583,13:36.639,1,False,,,,,True,1421,576,1631,895,False,,,,
24598,13:37.137,1,False,,,,,True,1449,583,1659,887,False,,,,
24613,13:37.635,1,False,,,,,True,1464,578,1677,892,False,,,,
24628,13:38.134,1,False,,,,,True,1478,562,1694,879,False,,,,
24643,13:38.632,1,False,,,,,True,1476,549,1693,867,False,,,,
24658,13:39.130,1,False,,,,,True,1473,547,1684,871,False,,,,
24673,13:39.629,1,False,,,,,True,1464,552,1674,885,False,,,,
24688,13:40.127,1,False,,,,,True,1470,549,1682,873,False,,,,
24703,13:40.625,1,False,,,,,True,1469,542,1681,858,False,,,,
24718,13:41.124,1,False,,,,,True,1460,552,1671,874,False,,,,
24733,13:41.622,1,False,,,,,True,1423,557,1632,885,False,,,,
24748,13:42.120,1,False,,,,,True,1421,550,1633,868,False,,,,
24763,13:42.618,1,False,,,,,True,1424,537,1631,841,False,,,,
24778,13:43.117,1,False,,,,,True,1525,529,1745,829,False,,,,
24793,13:43.615,1,False,,,,,True,1480,370,1700,691,False,,,,
24808,13:44.113,1,False,,,,,True,1481,332,1701,650,False,,,,
24823,13:44.612,1,False,,,,,True,1494,297,1718,618,False,,,,
24838,13:45.110,1,False,,,,,True,1398,273,1616,593,False,,,,
24853,13:45.608,1,False,,,,,True,1333,458,1537,759,False,,,,
24868,13:46.106,1,False,,,,,True,1332,542,1535,853,False,,,,
24883,13:46.605,1,False,,,,,True,1372,569,1577,865,False,,,,
24898,13:47.103,1,False,,,,,True,1353,538,1560,844,False,,,,
24913,13:47.601,1,False,,,,,True,1434,512,1646,818,False,,,,
24928,13:48.100,1,False,,,,,True,1490,529,1709,846,False,,,,
24943,13:48.598,1,False,,,,,True,1478,544,1693,855,False,,,,
24958,13:49.096,1,False,,,,,True,1396,555,1604,856,False,,,,
24973,13:49.595,1,False,,,,,True,1370,593,1575,906,False,,,,
24988,13:50.093,1,False,,,,,True,1393,607,1601,906,False,,,,
25003,13:50.591,1,False,,,,,True,1323,603,1528,907,False,,,,
25018,13:51.089,1,False,,,,,True,1331,603,1535,923,False,,,,
25033,13:51.588,1,False,,,,,True,1346,592,1555,911,False,,,,
25048,13:52.086,1,False,,,,,True,1388,561,1595,877,False,,,,
25063,13:52.584,1,False,,,,,True,1400,549,1610,866,False,,,,
25078,13:53.083,1,False,,,,,True,1477,522,1690,832,False,,,,
25093,13:53.581,1,False,,,,,True,1934,476,2209,828,False,,,,
25108,13:54.079,0,False,,,,,False,,,,,False,,,,
25123,13:54.578,0,False,,,,,False,,,,,False,,,,
25138,13:55.076,0,False,,,,,False,,,,,False,,,,
25153,13:55.574,1,False,,,,,True,2190,583,2496,955,False,,,,
25168,13:56.072,1,False,,,,,True,867,676,1073,990,False,,,,
