time,faces_130,faces_131,average_numeric,average_binary,task_start_sec,task_end_sec,condition
159.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
160.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
160.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
161.0,1,1,0.95,0.97,405.0,1185.0,Grid/MR
161.5,1,1,0.95,0.97,405.0,1185.0,Grid/MR
162.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
162.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
163.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
163.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
164.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
164.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
165.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
165.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
166.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
166.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
167.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
167.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
168.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
168.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
169.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
169.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
170.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
170.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
171.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
171.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
172.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
172.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
173.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
173.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
174.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
174.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
175.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
175.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
176.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
176.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
177.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
177.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
178.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
178.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
179.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
179.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
180.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
180.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
181.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
181.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
182.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
182.5,1,1,1.0,1.0,405.0,1185.0,Grid/MR
183.0,1,1,1.0,1.0,405.0,1185.0,Grid/MR
183.5,1,0,0.95,0.97,405.0,1185.0,Grid/MR
184.0,1,0,0.9,0.93,405.0,1185.0,Grid/MR
184.5,1,0,0.85,0.9,405.0,1185.0,Grid/MR
185.0,1,0,0.8,0.87,405.0,1185.0,Grid/MR
185.5,1,0,0.75,0.83,405.0,1185.0,Grid/MR
186.0,1,0,0.7,0.8,405.0,1185.0,Grid/MR
186.5,1,0,0.65,0.77,405.0,1185.0,Grid/MR
187.0,1,0,0.6,0.73,405.0,1185.0,Grid/MR
