time,faces_077,faces_078,faces_079
345.01,,2.0,
345.03,0.0,,
345.05,,2.0,
345.08,,2.0,
345.11,,2.0,
345.15,,2.0,
345.18,,2.0,
345.22,,2.0,
345.25,,2.0,
345.28,,2.0,
345.32,,2.0,
345.35,,2.0,
345.38,,2.0,
345.42,,2.0,
345.45,,2.0,
345.48,,2.0,
345.52,,2.0,
345.53,1.0,,
345.55,,2.0,
345.58,,2.0,
345.62,,2.0,
345.65,,2.0,
345.68,,2.0,
345.72,,2.0,
345.75,,2.0,
345.78,,2.0,
345.82,,2.0,
345.85,,2.0,
345.88,,2.0,
345.92,,2.0,
345.95,,2.0,
345.98,,2.0,
346.02,,2.0,
346.03,0.0,,
346.05,,2.0,
346.08,,2.0,
346.12,,2.0,
346.15,,2.0,
346.18,,2.0,
346.22,,2.0,
346.25,,2.0,
346.28,,2.0,
346.32,,2.0,
346.35,,2.0,
346.38,,2.0,
346.42,,2.0,
346.45,,2.0,
346.48,,2.0,
346.52,,2.0,
346.53,0.0,,
346.55,,2.0,
346.58,,2.0,
346.62,,2.0,
346.65,,2.0,
346.68,,2.0,
346.72,,2.0,
346.75,,2.0,
346.78,,2.0,
346.82,,2.0,
346.85,,2.0,
346.88,,2.0,
346.92,,2.0,
346.95,,2.0,
346.98,,2.0,
347.02,,2.0,
347.03,1.0,,
347.05,,2.0,
347.08,,2.0,
347.12,,2.0,
347.15,,2.0,
347.18,,2.0,
347.22,,2.0,
347.25,,2.0,
347.28,,2.0,
347.32,,2.0,
347.35,,2.0,
347.38,,2.0,
347.42,,2.0,
347.45,,2.0,
347.48,,2.0,
347.52,,2.0,
347.53,2.0,,
347.55,,2.0,
347.58,,2.0,
347.62,,2.0,
347.65,,2.0,
347.68,,2.0,
347.72,,2.0,
347.75,,2.0,
347.78,,2.0,
347.82,,2.0,
347.85,,2.0,
347.88,,2.0,
347.92,,2.0,
347.95,,1.0,
347.98,,1.0,
348.02,,1.0,
348.03,2.0,,
348.05,,1.0,
348.08,,1.0,
348.12,,1.0,
348.15,,1.0,
348.18,,1.0,
348.22,,1.0,
348.25,,1.0,
348.28,,1.0,
348.32,,1.0,
348.35,,1.0,
348.38,,1.0,
348.42,,1.0,
348.45,,1.0,
348.48,,1.0,
348.52,,1.0,
348.53,2.0,,
348.55,,1.0,
348.58,,0.0,
348.62,,0.0,
348.65,,0.0,
348.68,,0.0,
348.72,,0.0,
348.75,,0.0,
348.78,,0.0,
348.81,,0.0,
348.84,,0.0,
348.87,,0.0,
348.91,,0.0,
348.94,,0.0,
348.97,,0.0,
349.01,,0.0,
349.03,2.0,,
349.04,,0.0,
349.07,,0.0,
349.11,,0.0,
349.14,,0.0,
349.17,,0.0,
349.21,,0.0,
349.24,,0.0,
349.27,,0.0,
349.31,,0.0,
349.34,,0.0,
349.37,,0.0,
349.41,,0.0,
349.44,,0.0,
349.48,,0.0,
349.51,,0.0,
349.53,2.0,,
349.54,,0.0,
349.58,,0.0,
349.61,,0.0,
349.64,,0.0,
349.67,,0.0,
349.71,,0.0,
349.74,,0.0,
349.78,,0.0,
349.81,,0.0,
349.84,,0.0,
349.88,,0.0,
349.91,,0.0,
349.94,,0.0,
349.98,,0.0,
350.01,,0.0,
350.03,2.0,,
350.04,,0.0,
350.08,,0.0,
350.11,,0.0,
350.14,,0.0,
350.17,,0.0,
350.21,,0.0,
350.24,,0.0,
350.28,,0.0,
350.31,,0.0,
350.34,,0.0,
350.38,,0.0,
350.41,,0.0,
350.44,,0.0,
350.48,,0.0,
350.51,,0.0,
350.53,2.0,,
350.54,,0.0,
350.58,,0.0,
350.61,,0.0,
350.64,,1.0,
350.67,,1.0,
350.71,,1.0,
350.74,,0.0,
350.78,,0.0,
350.81,,0.0,
350.84,,0.0,
350.88,,0.0,
350.91,,0.0,
350.94,,0.0,
350.98,,0.0,
351.01,,1.0,
351.03,2.0,,
351.04,,1.0,
351.08,,1.0,
351.11,,1.0,
351.14,,1.0,
351.17,,1.0,
351.21,,1.0,
351.24,,1.0,
351.28,,1.0,
351.31,,1.0,
351.34,,1.0,
351.38,,1.0,
351.41,,1.0,
351.44,,1.0,
351.48,,1.0,
351.51,,1.0,
351.53,2.0,,
351.54,,1.0,
351.58,,1.0,
351.61,,1.0,
351.64,,1.0,
351.67,,1.0,
351.71,,1.0,
351.74,,1.0,
351.78,,1.0,
351.81,,1.0,
351.84,,1.0,
351.88,,1.0,
351.91,,1.0,
351.94,,1.0,
351.98,,1.0,
352.01,,1.0,
352.03,1.0,,
352.04,,1.0,
352.08,,1.0,
352.11,,1.0,
352.15,,1.0,
352.17,,1.0,
352.22,,1.0,
352.24,,1.0,
352.28,,1.0,
352.31,,1.0,
352.34,,1.0,
352.38,,1.0,
352.41,,1.0,
352.44,,1.0,
352.48,,1.0,
352.51,,1.0,
352.53,1.0,,
352.54,,1.0,
352.58,,1.0,
352.61,,1.0,
352.64,,2.0,
352.67,,2.0,
352.71,,2.0,
352.74,,2.0,
352.78,,2.0,
352.81,,2.0,
352.84,,2.0,
352.88,,2.0,
352.91,,2.0,
352.94,,2.0,
352.98,,2.0,
353.01,,2.0,
353.03,1.0,,
353.04,,2.0,
353.08,,2.0,
353.11,,2.0,
353.14,,2.0,
353.17,,2.0,
353.21,,2.0,
353.24,,2.0,
353.28,,2.0,
353.31,,2.0,
353.34,,2.0,
353.38,,2.0,
353.41,,2.0,
353.44,,2.0,
353.48,,2.0,
353.51,,2.0,
353.53,2.0,,
353.54,,2.0,
353.58,,2.0,
353.61,,2.0,
353.64,,2.0,
353.67,,2.0,
353.71,,2.0,
353.74,,2.0,
353.78,,2.0,
353.81,,2.0,
353.84,,2.0,
353.88,,2.0,
353.91,,2.0,
353.94,,2.0,
353.98,,2.0,
354.01,,2.0,
354.03,2.0,,
354.04,,2.0,
354.08,,2.0,
354.11,,2.0,
354.14,,2.0,
354.18,,2.0,
354.21,,2.0,
354.24,,2.0,
354.28,,2.0,
354.31,,2.0,
354.34,,2.0,
354.38,,2.0,
354.41,,2.0,
354.44,,2.0,
354.48,,2.0,
354.51,,2.0,
354.53,0.0,,
354.54,,2.0,
354.58,,2.0,
354.61,,2.0,
354.64,,2.0,
354.68,,2.0,
354.71,,2.0,
354.74,,2.0,
354.78,,1.0,
354.81,,1.0,
354.84,,1.0,
354.88,,1.0,
354.91,,1.0,
354.94,,1.0,
354.98,,1.0,
355.01,,1.0,
355.03,0.0,,
355.04,,1.0,
355.08,,1.0,
355.11,,1.0,
355.14,,1.0,
355.18,,1.0,
355.21,,1.0,
355.24,,1.0,
355.28,,1.0,
355.31,,1.0,
355.34,,1.0,
355.38,,1.0,
355.41,,1.0,
355.44,,1.0,
355.48,,1.0,
355.51,,1.0,
