frame,time,actual_video_time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y
13480,07:14.500,07:14.532,1,1008.0,776.0,1110.0,916.0,,,,
13496,07:15.000,07:15.007,1,999.0,827.0,1100.0,957.0,,,,
13513,07:15.500,07:15.523,1,1021.0,847.0,1122.0,983.0,,,,
13529,07:16.000,07:16.000,1,971.0,860.0,1073.0,995.0,,,,
13546,07:16.500,07:16.508,1,756.0,838.0,861.0,972.0,,,,
13563,07:17.000,07:17.017,1,658.0,858.0,770.0,997.0,,,,
13579,07:17.500,07:17.500,1,367.0,886.0,498.0,1045.0,,,,
13596,07:18.000,07:18.025,1,492.0,874.0,612.0,1029.0,,,,
13611,07:18.500,07:18.525,1,587.0,853.0,702.0,1003.0,,,,
13626,07:19.000,07:19.025,1,628.0,840.0,741.0,989.0,,,,
13641,07:19.500,07:19.525,1,650.0,857.0,761.0,1004.0,,,,
13656,07:20.000,07:20.027,1,781.0,845.0,886.0,986.0,,,,
13671,07:20.500,07:20.527,1,714.0,829.0,823.0,974.0,,,,
13686,07:21.000,07:21.027,1,606.0,839.0,721.0,993.0,,,,
13701,07:21.500,07:21.527,1,555.0,810.0,671.0,958.0,,,,
13716,07:22.000,07:22.027,1,477.0,676.0,601.0,836.0,,,,
13731,07:22.500,07:22.527,1,539.0,727.0,659.0,881.0,,,,
13746,07:23.000,07:23.027,1,974.0,704.0,1074.0,845.0,,,,
13761,07:23.500,07:23.527,2,404.0,623.0,599.0,870.0,1481.0,687.0,1589.0,831.0
13776,07:24.000,07:24.027,1,1106.0,374.0,1212.0,516.0,,,,
13791,07:24.500,07:24.528,1,1021.0,354.0,1126.0,478.0,,,,
13806,07:25.000,07:25.028,1,1063.0,607.0,1158.0,728.0,,,,
13821,07:25.500,07:25.528,1,1091.0,632.0,1195.0,752.0,,,,
13836,07:26.000,07:26.028,1,1077.0,677.0,1180.0,793.0,,,,
13851,07:26.500,07:26.528,1,1077.0,722.0,1180.0,833.0,,,,
13866,07:27.000,07:27.028,1,1114.0,692.0,1215.0,802.0,,,,
13881,07:27.500,07:27.528,1,1090.0,663.0,1192.0,782.0,,,,
13896,07:28.000,07:28.028,2,-32.0,477.0,211.0,773.0,1221.0,543.0,1330.0,688.0
13911,07:28.500,07:28.530,2,190.0,429.0,414.0,704.0,1405.0,488.0,1508.0,623.0
13926,07:29.000,07:29.030,2,1300.0,486.0,1402.0,622.0,24.0,418.0,265.0,704.0
13941,07:29.500,07:29.530,2,1201.0,486.0,1305.0,623.0,-84.0,411.0,130.0,704.0
13956,07:30.000,07:30.030,1,1166.0,405.0,1273.0,548.0,,,,
13971,07:30.500,07:30.530,2,1125.0,599.0,1232.0,747.0,-88.0,639.0,152.0,911.0
13986,07:31.000,07:31.030,1,947.0,778.0,1052.0,922.0,,,,
14001,07:31.500,07:31.530,1,990.0,817.0,1095.0,957.0,,,,
14016,07:32.000,07:32.022,1,977.0,898.0,1080.0,1040.0,,,,
14032,07:32.500,07:32.522,1,950.0,946.0,1053.0,1089.0,,,,
14047,07:33.000,07:33.023,1,982.0,921.0,1084.0,1065.0,,,,
14062,07:33.500,07:33.523,1,1018.0,909.0,1120.0,1048.0,,,,
14077,07:34.000,07:34.023,1,1034.0,873.0,1138.0,1016.0,,,,
14092,07:34.500,07:34.523,1,1036.0,862.0,1139.0,1001.0,,,,
14107,07:35.000,07:35.023,1,1032.0,860.0,1136.0,1000.0,,,,
14122,07:35.500,07:35.523,1,1031.0,859.0,1135.0,998.0,,,,
14137,07:36.000,07:36.023,1,1037.0,850.0,1138.0,988.0,,,,
