frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,013_detected,013_tl_x,013_tl_y,013_br_x,013_br_y,gaze_on_013,014_detected,014_tl_x,014_tl_y,014_br_x,014_br_y,gaze_on_014,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
15191,08:24.220,182.0,68.0,0.0,0.0,0.0,3,False,True,1327,651,1421,841,False,False,,,,,False,True,60,440,400,770,False
15206,08:24.718,182.0,68.0,0.0,0.0,0.0,3,False,True,1608,677,1709,870,False,False,,,,,False,True,1132,733,1291,1010,False
15221,08:25.216,182.0,68.0,0.0,0.0,0.0,3,False,True,1990,597,2113,820,False,False,,,,,False,True,831,463,1075,750,False
15236,08:25.714,182.0,68.0,0.0,0.0,0.0,3,False,True,1946,626,2065,843,False,False,,,,,False,True,1420,699,1577,972,False
15251,08:26.212,,,,,,3,False,True,1752,660,1850,853,False,False,,,,,False,True,1267,732,1422,1008,False
15266,08:26.709,1058.0,178.0,,,,3,False,True,1575,664,1667,853,False,False,,,,,False,True,402,532,688,852,False
15281,08:27.207,,,,,,3,False,True,1555,680,1649,871,False,False,,,,,False,True,377,545,670,870,False
15296,08:27.705,182.0,68.0,,,,3,False,True,1526,677,1620,868,False,False,,,,,False,True,335,548,635,876,False
15311,08:28.203,182.0,68.0,0.0,0.0,0.0,3,False,True,1521,677,1618,862,False,False,,,,,False,True,323,544,626,873,False
15326,08:28.701,182.0,68.0,0.0,0.0,0.0,3,False,True,1517,665,1609,850,False,False,,,,,False,True,317,538,619,861,False
15341,08:29.199,182.0,68.0,0.0,0.0,0.0,3,False,True,1504,677,1597,855,False,False,,,,,False,True,295,534,603,867,False
15356,08:29.697,182.0,68.0,0.0,0.0,0.0,3,False,True,1487,679,1576,855,False,False,,,,,False,True,272,539,581,880,False
15371,08:30.195,182.0,68.0,0.0,0.0,0.0,3,False,True,1464,691,1552,869,False,False,,,,,False,True,238,556,554,895,False
15386,08:30.692,182.0,68.0,0.0,0.0,0.0,3,False,True,1515,681,1605,863,False,False,,,,,False,True,290,542,597,884,False
15401,08:31.190,182.0,68.0,0.0,0.0,0.0,3,False,True,1783,658,1889,855,False,False,,,,,False,True,1311,764,1470,1026,False
15416,08:31.688,182.0,68.0,0.0,0.0,0.0,3,False,True,1700,662,1803,854,False,False,,,,,False,True,1256,753,1415,1026,False
15431,08:32.186,182.0,68.0,0.0,0.0,0.0,3,False,True,1397,557,1492,738,False,False,,,,,False,True,136,381,472,751,False
15446,08:32.684,182.0,68.0,0.0,0.0,0.0,3,False,True,1410,498,1500,676,False,False,,,,,False,True,125,306,470,676,False
15461,08:33.182,182.0,68.0,0.0,0.0,0.0,3,False,True,1374,579,1470,764,False,False,,,,,False,True,105,390,442,766,False
15476,08:33.680,182.0,68.0,0.0,0.0,0.0,3,False,True,1352,668,1442,842,False,False,,,,,False,True,69,472,409,857,False
