frame,time,faces_detected_count,face_0_tl_x,face_0_tl_y,face_0_br_x,face_0_br_y,face_1_tl_x,face_1_tl_y,face_1_br_x,face_1_br_y,face_2_tl_x,face_2_tl_y,face_2_br_x,face_2_br_y,face_3_tl_x,face_3_tl_y,face_3_br_x,face_3_br_y,face_4_tl_x,face_4_tl_y,face_4_br_x,face_4_br_y
5737,06:12.787,3,1425.0,619.0,1596.0,853.0,2062.0,383.0,2318.0,688.0,958.0,634.0,1091.0,834.0,,,,,,,,
5738,06:12.820,3,1425.0,618.0,1597.0,853.0,2063.0,382.0,2319.0,687.0,958.0,635.0,1092.0,833.0,,,,,,,,
5739,06:12.853,3,1425.0,616.0,1597.0,852.0,2063.0,379.0,2320.0,686.0,959.0,634.0,1092.0,833.0,,,,,,,,
5740,06:12.887,3,1425.0,615.0,1597.0,852.0,2063.0,378.0,2320.0,685.0,959.0,634.0,1092.0,832.0,,,,,,,,
5741,06:12.920,3,1424.0,614.0,1596.0,852.0,2062.0,377.0,2319.0,685.0,959.0,636.0,1090.0,831.0,,,,,,,,
5742,06:12.953,3,1422.0,615.0,1594.0,852.0,2060.0,380.0,2316.0,688.0,957.0,635.0,1089.0,832.0,,,,,,,,
5743,06:12.987,3,1416.0,620.0,1587.0,854.0,2053.0,383.0,2308.0,692.0,949.0,635.0,1084.0,835.0,,,,,,,,
5744,06:13.020,3,1398.0,625.0,1568.0,859.0,2029.0,386.0,2279.0,698.0,931.0,637.0,1067.0,840.0,,,,,,,,
5745,06:13.053,3,1371.0,632.0,1540.0,869.0,1994.0,410.0,2235.0,707.0,903.0,653.0,1038.0,844.0,,,,,,,,
5746,06:13.087,3,1327.0,639.0,1498.0,875.0,1939.0,417.0,2171.0,715.0,862.0,662.0,997.0,853.0,,,,,,,,
5747,06:13.120,3,1280.0,646.0,1448.0,882.0,1878.0,428.0,2104.0,728.0,811.0,663.0,948.0,859.0,,,,,,,,
5748,06:13.153,3,1818.0,448.0,2035.0,732.0,1231.0,657.0,1397.0,888.0,758.0,669.0,896.0,867.0,,,,,,,,
5749,06:13.187,3,1765.0,459.0,1973.0,738.0,1186.0,664.0,1350.0,892.0,707.0,671.0,850.0,873.0,,,,,,,,
5750,06:13.220,3,1715.0,461.0,1919.0,744.0,1147.0,663.0,1312.0,897.0,661.0,679.0,804.0,879.0,,,,,,,,
5751,06:13.253,3,1109.0,670.0,1273.0,898.0,1678.0,477.0,1873.0,745.0,619.0,680.0,767.0,883.0,,,,,,,,
5752,06:13.287,3,1080.0,671.0,1246.0,903.0,1644.0,482.0,1837.0,752.0,584.0,684.0,734.0,889.0,,,,,,,,
5753,06:13.320,3,1054.0,676.0,1219.0,903.0,1613.0,480.0,1806.0,755.0,554.0,687.0,706.0,892.0,,,,,,,,
5754,06:13.353,3,1587.0,479.0,1780.0,757.0,1032.0,675.0,1197.0,908.0,526.0,690.0,679.0,895.0,,,,,,,,
5755,06:13.387,3,1013.0,680.0,1178.0,910.0,1568.0,488.0,1757.0,758.0,503.0,696.0,656.0,899.0,,,,,,,,
5756,06:13.420,3,996.0,683.0,1162.0,909.0,1549.0,505.0,1739.0,761.0,483.0,698.0,639.0,901.0,,,,,,,,
5757,06:13.453,3,980.0,680.0,1147.0,910.0,1535.0,503.0,1721.0,758.0,465.0,694.0,621.0,901.0,,,,,,,,
5758,06:13.487,3,969.0,677.0,1135.0,910.0,1521.0,500.0,1707.0,757.0,451.0,690.0,608.0,899.0,,,,,,,,
5759,06:13.522,3,958.0,674.0,1125.0,908.0,1507.0,494.0,1692.0,757.0,437.0,689.0,596.0,899.0,,,,,,,,
5760,06:13.555,3,949.0,674.0,1115.0,907.0,1496.0,490.0,1685.0,757.0,426.0,688.0,585.0,899.0,,,,,,,,
5761,06:13.588,3,940.0,674.0,1108.0,905.0,1485.0,485.0,1675.0,753.0,415.0,685.0,576.0,898.0,,,,,,,,
5762,06:13.622,3,934.0,672.0,1103.0,903.0,1478.0,481.0,1665.0,753.0,407.0,683.0,568.0,898.0,,,,,,,,
5763,06:13.655,3,930.0,671.0,1097.0,902.0,1469.0,482.0,1659.0,754.0,401.0,684.0,563.0,897.0,,,,,,,,
5764,06:13.688,3,1463.0,481.0,1655.0,755.0,927.0,669.0,1093.0,901.0,396.0,682.0,558.0,896.0,,,,,,,,
5765,06:13.722,3,924.0,667.0,1091.0,901.0,1459.0,485.0,1649.0,756.0,394.0,684.0,555.0,896.0,,,,,,,,
5766,06:13.755,3,923.0,668.0,1090.0,901.0,1455.0,485.0,1646.0,757.0,392.0,683.0,554.0,895.0,,,,,,,,
5767,06:13.788,3,923.0,667.0,1091.0,900.0,1452.0,487.0,1644.0,757.0,392.0,683.0,554.0,894.0,,,,,,,,
5768,06:13.822,3,1448.0,485.0,1641.0,757.0,923.0,668.0,1090.0,900.0,393.0,683.0,554.0,894.0,,,,,,,,
5769,06:13.855,3,1447.0,486.0,1639.0,756.0,924.0,667.0,1090.0,900.0,393.0,684.0,554.0,894.0,,,,,,,,
5770,06:13.888,3,1445.0,484.0,1637.0,755.0,924.0,666.0,1091.0,900.0,394.0,682.0,555.0,894.0,,,,,,,,
