frame,time,faces_detected_count,061_detected,061_tl_x,061_tl_y,061_br_x,061_br_y,062_detected,062_tl_x,062_tl_y,062_br_x,062_br_y,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y
35960,19:35.870,1,True,1099,598,1230,779,False,,,,,False,,,,
35975,19:36.360,1,True,1084,582,1218,767,False,,,,,False,,,,
35990,19:36.851,1,True,1100,574,1235,758,False,,,,,False,,,,
36005,19:37.341,1,True,1111,607,1245,790,False,,,,,False,,,,
36020,19:37.832,1,True,1125,944,1257,1129,False,,,,,False,,,,
36035,19:38.322,1,True,1016,854,1147,1031,False,,,,,False,,,,
36050,19:38.813,1,True,995,904,1124,1078,False,,,,,False,,,,
36065,19:39.303,1,True,1037,690,1165,856,False,,,,,False,,,,
36080,19:39.794,1,True,999,863,1129,1035,False,,,,,False,,,,
36095,19:40.284,1,True,971,794,1096,962,False,,,,,False,,,,
36110,19:40.775,1,True,828,483,961,664,False,,,,,False,,,,
36125,19:41.265,1,True,938,301,1080,488,False,,,,,False,,,,
36140,19:41.756,1,True,896,562,1033,737,False,,,,,False,,,,
36155,19:42.246,1,True,1378,654,1515,826,False,,,,,False,,,,
36170,19:42.737,1,True,1110,508,1244,680,False,,,,,False,,,,
36185,19:43.227,1,True,929,281,1077,476,False,,,,,False,,,,
36200,19:43.718,1,True,1034,205,1192,406,False,,,,,False,,,,
36215,19:44.208,1,True,1096,211,1249,415,False,,,,,False,,,,
36230,19:44.699,1,True,1076,402,1221,602,False,,,,,False,,,,
36245,19:45.189,1,True,1144,687,1280,870,False,,,,,False,,,,
36260,19:45.680,1,True,1188,693,1320,856,False,,,,,False,,,,
36275,19:46.170,1,True,1170,676,1298,851,False,,,,,False,,,,
36290,19:46.660,1,True,1155,639,1289,819,False,,,,,False,,,,
36305,19:47.151,1,True,1130,618,1260,798,False,,,,,False,,,,
36320,19:47.641,1,True,1155,613,1286,794,False,,,,,False,,,,
36335,19:48.132,1,True,1197,593,1329,774,False,,,,,False,,,,
36350,19:48.622,1,True,1170,592,1319,766,False,,,,,False,,,,
36365,19:49.113,1,True,1165,586,1294,764,False,,,,,False,,,,
36380,19:49.603,1,True,1155,586,1286,765,False,,,,,False,,,,
36395,19:50.094,1,True,1154,593,1286,772,False,,,,,False,,,,
36410,19:50.584,1,True,1159,604,1291,783,False,,,,,False,,,,
36425,19:51.075,1,True,1066,845,1195,1021,False,,,,,False,,,,
36440,19:51.565,1,True,1018,782,1146,954,False,,,,,False,,,,
36455,19:52.056,1,True,1111,779,1237,951,False,,,,,False,,,,
36470,19:52.546,1,True,1117,760,1242,931,False,,,,,False,,,,
36485,19:53.037,1,True,1101,759,1228,929,False,,,,,False,,,,
36500,19:53.527,1,True,1127,682,1257,854,False,,,,,False,,,,
36515,19:54.018,1,True,1114,633,1246,812,False,,,,,False,,,,
36530,19:54.508,1,True,1050,778,1180,948,False,,,,,False,,,,
36545,19:54.999,1,True,1022,832,1153,1001,False,,,,,False,,,,
36560,19:55.489,1,True,1000,569,1133,751,False,,,,,False,,,,
36575,19:55.980,1,True,1111,564,1247,742,False,,,,,False,,,,
36590,19:56.470,1,True,1136,458,1278,645,False,,,,,False,,,,
36605,19:56.961,1,True,1091,527,1233,713,False,,,,,False,,,,
36620,19:57.451,1,True,983,788,1114,960,False,,,,,False,,,,
36635,19:57.942,1,True,1198,973,1327,1146,False,,,,,False,,,,
36650,19:58.432,1,True,1211,738,1338,908,False,,,,,False,,,,
36665,19:58.923,1,True,1340,994,1466,1160,False,,,,,False,,,,
36680,19:59.413,1,True,1178,948,1305,1117,False,,,,,False,,,,
36695,19:59.904,1,True,1124,721,1253,895,False,,,,,False,,,,
36710,20:00.394,1,True,1108,774,1237,948,False,,,,,False,,,,
36725,20:00.885,1,True,1166,741,1291,913,False,,,,,False,,,,
36740,20:01.375,1,True,1172,739,1301,918,False,,,,,False,,,,
36755,20:01.866,1,True,1165,732,1294,903,False,,,,,False,,,,
36770,20:02.356,1,True,1194,687,1322,863,False,,,,,False,,,,
36785,20:02.847,1,True,1183,676,1312,855,False,,,,,False,,,,
36800,20:03.337,1,True,1196,688,1326,866,False,,,,,False,,,,
36815,20:03.828,1,True,1160,736,1290,909,False,,,,,False,,,,
36830,20:04.318,1,True,979,776,1107,948,False,,,,,False,,,,
36845,20:04.809,1,True,1069,791,1195,960,False,,,,,False,,,,
36860,20:05.299,1,True,1036,942,1164,1113,False,,,,,False,,,,
36875,20:05.790,1,True,1041,898,1171,1081,False,,,,,False,,,,
36890,20:06.280,1,True,1039,672,1167,842,False,,,,,False,,,,
