frame,time,gaze_x,gaze_y,gaze_delta_x,gaze_delta_y,gaze_delta_euclidean,faces_detected_count,gaze_on_any_face,008_detected,008_tl_x,008_tl_y,008_br_x,008_br_y,gaze_on_008,009_detected,009_tl_x,009_tl_y,009_br_x,009_br_y,gaze_on_009,010_detected,010_tl_x,010_tl_y,010_br_x,010_br_y,gaze_on_010,011_detected,011_tl_x,011_tl_y,011_br_x,011_br_y,gaze_on_011,UNKNOWN_detected,UNKNOWN_tl_x,UNKNOWN_tl_y,UNKNOWN_br_x,UNKNOWN_br_y,gaze_on_UNKNOWN
15713,08:43.462,182.0,58.0,0.0,0.0,0.0,2,False,True,1863,561,1993,720,False,False,,,,,False,False,,,,,False,False,,,,,False,True,1013,611,1134,818,False
15728,08:43.962,182.0,58.0,0.0,0.0,0.0,2,False,True,1854,564,1975,720,False,False,,,,,False,False,,,,,False,True,987,591,1126,805,False,False,,,,,False
15743,08:44.461,182.0,58.0,0.0,0.0,0.0,2,False,True,1827,630,1936,769,False,False,,,,,False,False,,,,,False,True,943,593,1092,813,False,False,,,,,False
15758,08:44.961,968.0,710.0,786.0,652.0,1021.2247548899312,2,True,True,1801,636,1908,770,False,False,,,,,False,False,,,,,False,True,890,596,1041,815,True,False,,,,,False
15773,08:45.461,182.0,58.0,-786.0,-652.0,1021.2247548899312,2,False,True,1786,644,1893,778,False,False,,,,,False,False,,,,,False,True,880,588,1027,803,False,False,,,,,False
15788,08:45.960,182.0,58.0,0.0,0.0,0.0,2,False,True,1756,647,1860,778,False,False,,,,,False,False,,,,,False,True,870,589,1015,803,False,False,,,,,False
15803,08:46.460,182.0,58.0,0.0,0.0,0.0,2,False,True,1738,639,1840,768,False,False,,,,,False,False,,,,,False,True,869,568,1016,784,False,False,,,,,False
15818,08:46.960,182.0,58.0,0.0,0.0,0.0,2,False,True,1746,635,1851,766,False,False,,,,,False,False,,,,,False,False,,,,,False,True,832,553,988,781,False
15833,08:47.460,182.0,68.0,0.0,10.0,10.0,2,False,True,1746,659,1849,789,False,False,,,,,False,False,,,,,False,True,864,586,1007,803,False,False,,,,,False
15848,08:47.959,182.0,68.0,0.0,0.0,0.0,2,False,True,1733,679,1836,811,False,False,,,,,False,False,,,,,False,True,905,594,1023,800,False,False,,,,,False
15863,08:48.459,182.0,68.0,0.0,0.0,0.0,2,False,True,1684,666,1782,793,False,False,,,,,False,False,,,,,False,True,809,574,949,785,False,False,,,,,False
15878,08:48.959,182.0,68.0,0.0,0.0,0.0,2,False,True,1371,623,1459,744,False,False,,,,,False,False,,,,,False,False,,,,,False,True,399,482,582,723,False
15893,08:49.458,182.0,68.0,0.0,0.0,0.0,2,False,True,1662,612,1758,740,False,False,,,,,False,False,,,,,False,True,740,512,900,731,False,False,,,,,False
15908,08:49.958,182.0,68.0,0.0,0.0,0.0,2,False,True,1746,645,1849,776,False,False,,,,,False,False,,,,,False,False,,,,,False,True,852,543,1000,762,False
15923,08:50.458,182.0,68.0,0.0,0.0,0.0,2,False,True,764,597,860,724,False,True,1793,545,1975,773,False,False,,,,,False,False,,,,,False,False,,,,,False
15938,08:50.958,182.0,68.0,0.0,0.0,0.0,2,False,True,369,637,482,766,False,True,1422,577,1582,790,False,False,,,,,False,False,,,,,False,False,,,,,False
15953,08:51.457,182.0,58.0,0.0,-10.0,10.0,2,False,True,905,595,996,716,False,True,1952,509,2158,735,False,False,,,,,False,False,,,,,False,False,,,,,False
15968,08:51.957,182.0,58.0,0.0,0.0,0.0,2,False,True,1382,615,1471,736,False,False,,,,,False,False,,,,,False,False,,,,,False,True,453,526,617,763,False
15983,08:52.457,182.0,58.0,0.0,0.0,0.0,2,False,True,1749,692,1849,817,False,False,,,,,False,False,,,,,False,True,817,615,972,831,False,False,,,,,False
15998,08:52.956,182.0,58.0,0.0,0.0,0.0,2,False,True,1730,652,1829,777,False,False,,,,,False,False,,,,,False,False,,,,,False,True,802,564,959,782,False
16013,08:53.456,182.0,68.0,0.0,10.0,10.0,2,False,True,1677,675,1775,798,False,False,,,,,False,False,,,,,False,False,,,,,False,True,794,591,945,808,False
16028,08:53.956,182.0,68.0,0.0,0.0,0.0,2,False,True,1788,683,1890,808,False,False,,,,,False,False,,,,,False,False,,,,,False,True,908,619,1060,838,False
16043,08:54.455,182.0,68.0,0.0,0.0,0.0,2,False,True,1687,799,1783,918,False,False,,,,,False,False,,,,,False,False,,,,,False,True,804,715,964,952,False
16058,08:54.955,182.0,68.0,0.0,0.0,0.0,2,False,True,1619,829,1709,941,False,False,,,,,False,False,,,,,False,True,784,671,947,898,False,False,,,,,False
16073,08:55.455,1154.0,784.0,972.0,716.0,1207.2447970482208,3,True,True,1108,749,1192,857,True,True,2103,860,2252,1061,False,False,,,,,False,False,,,,,False,True,138,465,345,735,False
