video_name,frame,time,tl_x,tl_y,br_x,br_y
063_POV.mp4,9624,10:13.098,1215.0,837.0,1286.0,942.0
063_POV.mp4,9625,10:13.132,1216.0,837.0,1286.0,942.0
063_POV.mp4,9626,10:13.165,1217.0,836.0,1286.0,941.0
063_POV.mp4,9627,10:13.198,1218.0,836.0,1287.0,939.0
063_POV.mp4,9628,10:13.232,1218.0,833.0,1288.0,938.0
063_POV.mp4,9629,10:13.265,1219.0,832.0,1289.0,936.0
063_POV.mp4,9630,10:13.298,1220.0,832.0,1289.0,936.0
063_POV.mp4,9631,10:13.332,1220.0,831.0,1290.0,936.0
063_POV.mp4,9632,10:13.365,1222.0,832.0,1291.0,937.0
063_POV.mp4,9633,10:13.398,1228.0,833.0,1298.0,937.0
063_POV.mp4,9634,10:13.432,1238.0,833.0,1306.0,937.0
063_POV.mp4,9635,10:13.465,1251.0,834.0,1320.0,939.0
063_POV.mp4,9636,10:13.498,1268.0,834.0,1338.0,941.0
063_POV.mp4,9637,10:13.532,1291.0,836.0,1361.0,941.0
063_POV.mp4,9638,10:13.565,1317.0,835.0,1387.0,941.0
063_POV.mp4,9639,10:13.598,1343.0,835.0,1412.0,941.0
063_POV.mp4,9640,10:13.632,1366.0,834.0,1437.0,941.0
063_POV.mp4,9641,10:13.665,1387.0,832.0,1458.0,941.0
063_POV.mp4,9642,10:13.698,1404.0,834.0,1473.0,941.0
063_POV.mp4,9643,10:13.732,1412.0,833.0,1483.0,942.0
063_POV.mp4,9644,10:13.765,1420.0,834.0,1491.0,943.0
063_POV.mp4,9645,10:13.798,1425.0,836.0,1496.0,944.0
063_POV.mp4,9646,10:13.832,1428.0,835.0,1498.0,944.0
063_POV.mp4,9647,10:13.865,1430.0,835.0,1499.0,944.0
063_POV.mp4,9648,10:13.898,1433.0,834.0,1505.0,945.0
063_POV.mp4,9649,10:13.932,1441.0,836.0,1513.0,946.0
063_POV.mp4,9650,10:13.965,1459.0,839.0,1531.0,949.0
063_POV.mp4,9651,10:13.998,1489.0,843.0,1561.0,953.0
063_POV.mp4,9652,10:14.032,1538.0,847.0,1610.0,957.0
063_POV.mp4,9653,10:14.065,1599.0,849.0,1673.0,960.0
063_POV.mp4,10491,10:42.028,1727.0,1139.0,1770.0,1201.0
063_POV.mp4,10506,10:42.528,1779.0,1129.0,1823.0,1191.0
063_POV.mp4,10521,10:43.028,1786.0,1133.0,1829.0,1195.0
063_POV.mp4,10536,10:43.528,1791.0,1127.0,1834.0,1186.0
063_POV.mp4,10551,10:44.028,1790.0,1121.0,1832.0,1181.0
063_POV.mp4,10566,10:44.528,1804.0,1123.0,1847.0,1185.0
063_POV.mp4,10611,10:46.030,1824.0,1136.0,1868.0,1199.0
063_POV.mp4,10626,10:46.530,1822.0,1138.0,1867.0,1201.0
063_POV.mp4,10641,10:47.030,1824.0,1135.0,1867.0,1198.0
063_POV.mp4,10656,10:47.530,1823.0,1134.0,1866.0,1194.0
063_POV.mp4,10671,10:48.030,1831.0,1133.0,1873.0,1192.0
063_POV.mp4,10686,10:48.530,1830.0,1127.0,1874.0,1189.0
063_POV.mp4,10701,10:49.030,1835.0,1124.0,1878.0,1187.0
063_POV.mp4,10716,10:49.530,1832.0,1124.0,1875.0,1186.0
063_POV.mp4,10731,10:50.032,1829.0,1123.0,1872.0,1183.0
063_POV.mp4,10746,10:50.532,1828.0,1122.0,1869.0,1181.0
063_POV.mp4,10761,10:51.032,1828.0,1123.0,1870.0,1183.0
063_POV.mp4,10776,10:51.532,1827.0,1125.0,1871.0,1187.0
063_POV.mp4,10791,10:52.032,1831.0,1125.0,1875.0,1187.0
063_POV.mp4,10806,10:52.532,1830.0,1129.0,1874.0,1190.0
063_POV.mp4,10821,10:53.032,1831.0,1131.0,1874.0,1190.0
063_POV.mp4,10836,10:53.532,1823.0,1125.0,1867.0,1186.0
063_POV.mp4,10850,10:54.000,1834.0,1116.0,1875.0,1175.0
063_POV.mp4,10865,10:54.500,1830.0,1122.0,1873.0,1183.0
063_POV.mp4,10880,10:55.000,1830.0,1117.0,1873.0,1176.0
063_POV.mp4,10895,10:55.500,1834.0,1117.0,1876.0,1176.0
063_POV.mp4,10910,10:56.000,1838.0,1117.0,1881.0,1178.0
063_POV.mp4,10926,10:56.525,1838.0,1124.0,1880.0,1182.0
063_POV.mp4,10941,10:57.025,1840.0,1121.0,1883.0,1181.0
063_POV.mp4,10956,10:57.525,1850.0,1122.0,1894.0,1180.0
063_POV.mp4,10971,10:58.027,1852.0,1121.0,1895.0,1179.0
063_POV.mp4,10986,10:58.527,1855.0,1121.0,1898.0,1182.0
063_POV.mp4,11001,10:59.027,1851.0,1123.0,1895.0,1181.0
063_POV.mp4,11016,10:59.527,1855.0,1122.0,1897.0,1182.0
063_POV.mp4,11031,11:00.027,1842.0,1124.0,1886.0,1186.0
063_POV.mp4,11061,11:01.027,1910.0,1186.0,1953.0,1249.0
063_POV.mp4,11076,11:01.527,1790.0,1133.0,1830.0,1190.0
063_POV.mp4,11106,11:02.528,1806.0,1133.0,1851.0,1192.0
063_POV.mp4,11121,11:03.028,1911.0,1148.0,1953.0,1208.0
063_POV.mp4,11136,11:03.528,1908.0,1141.0,1952.0,1203.0
063_POV.mp4,11151,11:04.028,1880.0,1128.0,1924.0,1189.0
063_POV.mp4,11166,11:04.528,1865.0,1106.0,1908.0,1163.0
063_POV.mp4,11181,11:05.028,1888.0,1122.0,1930.0,1183.0
063_POV.mp4,11196,11:05.528,1888.0,1121.0,1928.0,1179.0
063_POV.mp4,11211,11:06.030,1895.0,1121.0,1937.0,1179.0
063_POV.mp4,11226,11:06.530,1890.0,1120.0,1932.0,1179.0
063_POV.mp4,11241,11:07.030,1885.0,1111.0,1930.0,1173.0
063_POV.mp4,11256,11:07.530,1891.0,1105.0,1933.0,1163.0
063_POV.mp4,11271,11:08.030,1892.0,1106.0,1933.0,1165.0
063_POV.mp4,11286,11:08.530,1890.0,1094.0,1931.0,1154.0
063_POV.mp4,11301,11:09.030,1882.0,1094.0,1925.0,1153.0
063_POV.mp4,11316,11:09.530,1879.0,1085.0,1923.0,1144.0
063_POV.mp4,11331,11:10.032,1889.0,1085.0,1932.0,1144.0
063_POV.mp4,11346,11:10.532,1895.0,1078.0,1937.0,1140.0
063_POV.mp4,11361,11:11.032,1897.0,1080.0,1941.0,1142.0
063_POV.mp4,11376,11:11.532,1898.0,1087.0,1940.0,1147.0
063_POV.mp4,11391,11:12.032,1896.0,1084.0,1938.0,1145.0
063_POV.mp4,11406,11:12.532,1898.0,1087.0,1941.0,1147.0
063_POV.mp4,11421,11:13.032,1890.0,1082.0,1932.0,1145.0
063_POV.mp4,11436,11:13.532,1888.0,1083.0,1932.0,1145.0
063_POV.mp4,11495,11:15.500,1814.0,1095.0,1855.0,1152.0
063_POV.mp4,11510,11:16.000,1809.0,1094.0,1849.0,1150.0
063_POV.mp4,11526,11:16.525,1801.0,1093.0,1841.0,1150.0
063_POV.mp4,11541,11:17.025,1803.0,1093.0,1842.0,1149.0
063_POV.mp4,11556,11:17.525,1803.0,1093.0,1843.0,1149.0
063_POV.mp4,11571,11:18.027,1809.0,1090.0,1850.0,1146.0
063_POV.mp4,11586,11:18.527,1813.0,1086.0,1855.0,1146.0
063_POV.mp4,11601,11:19.027,1817.0,1087.0,1857.0,1148.0
063_POV.mp4,11616,11:19.527,1812.0,1081.0,1856.0,1145.0
063_POV.mp4,11631,11:20.027,1809.0,1078.0,1853.0,1140.0
063_POV.mp4,11812,11:26.030,1933.0,1095.0,1978.0,1157.0
063_POV.mp4,11827,11:26.530,1924.0,1080.0,1968.0,1143.0
063_POV.mp4,11962,11:31.032,1959.0,1131.0,2004.0,1194.0
063_POV.mp4,11992,11:32.032,1876.0,1096.0,1919.0,1156.0
063_POV.mp4,12007,11:32.532,1896.0,1104.0,1938.0,1162.0
063_POV.mp4,12081,11:35.000,1907.0,1100.0,1949.0,1159.0
063_POV.mp4,12428,11:46.530,2024.0,1217.0,2071.0,1282.0
063_POV.mp4,12443,11:47.030,2021.0,1213.0,2069.0,1280.0
063_POV.mp4,12458,11:47.530,1955.0,1215.0,2004.0,1282.0
063_POV.mp4,12473,11:48.030,1744.0,1194.0,1789.0,1258.0
063_POV.mp4,12488,11:48.530,1761.0,1194.0,1810.0,1262.0
063_POV.mp4,12503,11:49.030,1751.0,1157.0,1812.0,1245.0
063_POV.mp4,12578,11:51.532,1231.0,857.0,1300.0,964.0
063_POV.mp4,12593,11:52.032,1250.0,858.0,1320.0,964.0
063_POV.mp4,12608,11:52.532,1263.0,856.0,1332.0,961.0
063_POV.mp4,12623,11:53.032,1272.0,857.0,1342.0,961.0
063_POV.mp4,12638,11:53.532,1533.0,880.0,1604.0,990.0
063_POV.mp4,12667,11:54.500,1302.0,996.0,1373.0,1105.0
063_POV.mp4,12682,11:55.000,1062.0,915.0,1133.0,1024.0
063_POV.mp4,12743,11:57.025,1391.0,1006.0,1462.0,1115.0
063_POV.mp4,12818,11:59.527,1430.0,961.0,1502.0,1079.0
063_POV.mp4,12863,12:01.027,1425.0,965.0,1496.0,1075.0
